WER,Truth,Predicted
0.23076923191547394,ik ga heel graag naar het pretpark en k ga ook graag naar de bioscoop,ik ga heel graag naar het pretpark kijk ook graag naar de bioscoop
0.10000000149011612,en zwemmen doe ik ook graag en naar de dierentuin,en samen doe ik ook graag en naar de dierentuin
0.0,niet zo heel graag,niet zo heel graag
0.0714285746216774,uhm alle attracties vooral de snelle attracties en ook de leuke omgeving en mijn vrienden,alle attracties vooral de snelle attracties en ook de leuke omgeving en mijn vrienden
0.0,samen weg zijn,samen weg zijn
inf,mmm,
0.0,in alle leuke attracties gaan en plezier maken,in alle leuke attracties gaan en plezier maken
0.30000001192092896,liefst met de trein want in de auto word ik ziek en met t vliegtuig en de boot ja dat gaat niet,liefst met de trein rond in de auto word ik ziek en met vliegtuigen aan boord ja dat gaat niet
0.0,een omweg is goed,een omweg is goed
0.0,in een frituur,in een frituur
0.0,in een frituur,in een frituur
0.0,vis,vis
0.1666666716337204,s avonds lijkt mij het beste,s avonds lijkt mij het best
0.0,nee das niet nodig,nee das niet nodig
0.0,door mensen op straat,door mensen op straat
0.0,door personen die op straat rondlopen,door personen die op straat rondlopen
0.0,in de zomer,in de zomer
0.05882352963089943,t is dan heel mooi weer de zon schijnt t is warm of dat hoop ik toch,t is dan heel mooi weer de zon schijnt het is warm of dat hoop ik toch
0.0,veel zon,veel zon
0.2222222238779068,nee want normaal gezien regent het dan niet,nee vond ze normaal gezien regent het dan niet
0.0,nee want die kunnen stuk gaan,nee want die kunnen stuk gaan
0.1111111119389534,ik ga niks meenemen want dat kan stuk gaan,ik ga niks meenemen want er kan stuk gaan
0.0,nee want dat kan stuk gaan,nee want dat kan stuk gaan
inf,ggg,
0.5,uhm heel goede vrienden xxx,heel goede vrienden dat
0.0,omdat het dan veel plezanter is,omdat het dan veel plezanter is
0.0,al mijn vrienden op deze school en mijn vorige school,al mijn vrienden op deze school en mijn vorige school
0.0,per telefoon,per telefoon
inf,ggg,
0.0,niet zo heel veel,niet zo heel veel
0.3333333432674408,ns naar een film of naar zee of gewoon naar t stad,die snel de film of naar zee of gewoon naar de stad
0.2857142984867096,om plezier te maken mij te ontspannen,om plezier te maken met de ontspannen
0.125,om mij goed te amuseren met mn vrienden,om mij goed te amuseren met mijn vrienden
0.1666666716337204,ik zit veel op de computer en k zit dan op msm,ik zit veel op de computer en ik zit dan op msn
0.1428571492433548,ggg ik zit veel op de computer thuis,ik zit veel op de computer thuis
0.0,vrij lang,vrij lang
0.20000000298023224,chiro of scouts of zo,hier of scouts of zo
0.0,verjaardagsfeestje,verjaardagsfeestje
0.6666666865348816,mmm een barbecue of zo,barbecue of zo
0.20000000298023224,met ballonnen of slingers of,na ballonnen of slingers of
0.5,leuke fotos,leuke fortes
inf,mmm,
0.1666666716337204,dat mogen de mensen zelf kiezen,dan mogen de mensen zelf kiezen
0.0,chinees,chinees
0.0,het restaurant,het restaurant
0.6666666865348816,t heeft gewoon ned goeie smaak ggg,het heeft gewoon een goede smaak
