RegionSpeaker	ResPlace	Gender	Age	BirthPlace	Group	HomeLanguage1	HomeLanguage2	CEF	Comment	EduLevel	EduPlace	DialectRegion	Length stay in NL or VL	Time on Dutch L2
N000016	N-5321	M	28	MAR	4	dut		A1	0	4	MAR	N4a	6 m	4 m
N000019	N-5216	M	23	CZE	4	tur		A1	0	4	CZE	N4a	2 y	5 m
N000022	N-6531	F	21	MAR	4	ara		A2	0	2	MAR	N4a	2 y 6 m 	2 y
N000024	N-6535	F	26	MAR	4	tus		A2	0	4	MAR	N4a	2 y 	7 m
N000025	N-6531	F	8	N-6531	1	dut			0		N-6531	N2c		
N000026	N-6532	M	8	N-6531	1	dut			0		N-6532	N2c		
N000027	N-6531	M	9	N-6531	1	dut			0		N-6531	N2c		
N000028	N-6525	M	10	N-6531	1	dut			0		N-6531	N2c		
N000029	N-6531	M	10	N-6531	1	dut			0		N-6531	N2c		
N000030	N-6532	F	9	N-6531	1	dut			0		N-6531	N2c		
N000031	N-6532	F	8	N-6531	1	dut			0		N-6531	N2c		
N000032	N-6531	F	8	N-6531	1	dut			0		N-6531	N2c		
N000033	N-6531	F	8	N-6531	1	dut			0		N-6531	N2c		
N000034	N-6531	F	8	N-6531	1	dut			0		N-6531	N2c		
N000036	N-6531	M	8	N-6531	1	dut			0		N-6531	N2c		
N000037	N-6532	F	8	N-1181	1	dut			0		N-6531	N2c
N000038	N-6531	F	8	N-6531	1	dut			0		N-6531	N2c
N000039	N-6531	F	9	N-6531	1	dut			0		N-6531	N2c
N000040	N-6533	M	10	N-6531	1	dut			0		N-6533	N2c
N000041	N-6531	M	10	N-6531	1	dut			0		N-6531	N2c
N000042	N-6531	F	10	N-6531	1	dut			0		N-6531	N2c
N000043	N-6531	M	10	N-6531	1	dut			0		N-6531	N2c
N000044	N-6531	M	11	N-6531	1	dut			0		N-6531	N2c
N000045	N-6532	M	12	N-6531	1	dut			0		N-6532	N2c
N000046	N-6532	M	13	N-6531	1	dut			0		N-6532	N2c
N000047	N-6531	M	11	N-6531	1	dut			0		N-6525	N2c
N000048	N-6531	M	10	N-6531	1	dut			0		N-6531	N2c
N000049	N-6511	F	10	N-6531	1	dut			0		N-6511	N2c
N000050	N-6532	F	12	N-1181	1	dut			0		N-1181	N2c
N000051	N-6531	F	11	GBR	1	dut			0		N-6531	N2c
N000052	N-6531	M	11	N-6531	1	dut			0		N-6532	N2c
N000053	N-6532	F	11	N-6531	1	dut	tus		0		N-6532	N2c
N000054	N-6531	F	11	N-3451	1	dut			0		N-3514	N2c
N000055	N-5211	M	9	N-5211	1	dut			0		N-5211	N4a
N000056	N-5212	M	9	N-5211	1	dut			0		N-5212	N4a
N000057	N-5211	F	9	N-1011	1	dut			0		N-5211	N4a
N000058	N-5211	F	9	N-5211	1	dut			0		N-5211	N4a
N000059	N-5212	F	8	N-5211	1	dut			0		N-5211	N4a
N000060	N-5211	M	10	N-5211	1	dut			0		N-5211	N4a
N000061	N-5212	M	11	N-5211	1	dut			0		N-5212	N4a
N000062	N-5223	F	11	N-5211	1	dut			0		N-5223	N4a
N000063	N-5231	F	10	N-2611	1	dut			0		N-5200	N4a
N000064	N-5212	M	10	N-5211	1	dut			0		N-5212	N4a
N000065	N-5211	F	11	N-5211	1	spa	pap		0		N-5211	N4a
N000066	N-5212	M	11	N-6531	1	dut			0		N-5212	N4a
N000067	N-5223	F	11	N-5211	1	dut			0		N-5223	N4a
N000068	N-5223	M	13	N-5211	1	dut			0		N-5223	N4a
N000069	N-5223	F	8	N-5211	1	dut			0		N-5223	N4a
N000070	N-5212	M	9	N-5211	1	dut			0		N-5212	N4a
N000071	N-5211	F	12	N-5211	1	dut			0		N-5211	N4a
N000072	N-5246	M	13	N-5211	1	dut			0		N-5223	N4a
N000073	N-5212	M	12	N-5211	1	dut			0		N-5212	N4a
N000074	N-5212	M	13	N-5211	1	dut			0		N-5212	N4a
N000160	N-6531	F		N-6531	2	dut			0		N-6531	N2c
N000161	N-6681	M	14	N-6681	2	dut			0		N-6681	N2c
N000162	N-6533	M	15	N-6531	2	tus			0		N-6533	N2c
N000163	N-6521	F	14	N-6531	2	tur			0		N-6521	N2c
N000165	N-1403	M		N-1403	2				0		N-1403	N1b
N000166	N-1403	F		N-1403	2				0		N-1403	N1b
N000167	N-1403	M		N-1403	2				0		N-1403	N1b
N000168	N-1403	M		N-1403	2				0		N-1403	N1b
N000169	N-1403	F		N-1403	2				0		N-1403	N1b
N000170	N-1403	F		N-1403	2				0		N-1403	N1b
N000171	N-1403	M		N-1403	2				0		N-1403	N1b
N000172	N-1403	M		N-1403	2				0		N-1403	N1b
N000173	N-1403	M		N-1403	2				0		N-1403	N1b
N000174	N-1403	F		N-1403	2				0		N-1403	N1b
N000175	N-1403	M		N-1403	2				0		N-1403	N1b
N000176	N-1403	M		N-1403	2				0		N-1403	N1b
N000177	N-1403	M		N-1403	2				0		N-1403	N1b
N000178	N-1403	F		N-1403	2				0		N-1403	N1b
N000179	N-1403	F		N-1403	2				0		N-1403	N1b
N000180	N-1403	F		N-1403	2				0		N-1403	N1b
N000181	N-1403	M		N-1403	2				0		N-1403	N1b
N000182	N-1403	F		N-1403	2				0		N-1403	N1b
N000183	N-1403	F		N-1403	2				0		N-1403	N1b
N000184	N-1403	M		N-1403	2				0		N-1403	N1b
N000193	N-7608	M		N-7601	1	dut			0		N-7608	N3b
N000194	N-7603	F	9	N-2011	1	dut			0		N-7603	N3b
N000195	N-7608	M	9	N-7601	1	dut			0		N-7608	N3b
N000196	N-7608	F	11	N-7601	1	tus			0		N-7608	N3b
N000197	N-7608	M	10	N-3451	1	dut			0		N-3607	N3b
N000198	N-7608	F	10	N-7601	1	dut	tus		0		N-7608	N3b
N000199	N-7608	F	11	N-7601	1	dut			0		N-7608	N3b
N000200	N-7608	F	11	N-7601	1	dut			0		N-7608	N3b
N000201	N-7608	F	9	N-7601	1	dut			0		N-7608	N3b
N000202	N-7608	F	8	N-7601	1	dut			0		N-7608	N3b
N000203	N-7608	F	8	N-7601	1	dut			0		N-7608	N3b
N000204	N-7608	M	8	N-7601	1	dut			0		N-7608	N3b
N000205	N-7608	M	8	N-7601	1	tus			0		N-7608	N3b
N000206	N-7608	F	11	N-5701	1	dut			0		N-5707	N3b
N000207	N-7608	M	10	N-7601	1	dut			0		N-7608	N3b
N000208	N-7608	M		N-7601	1	dut			0		N-7608	N3b
N000209	N-7608	M		N-7601	1	dut			0		N-7608	N3b
N000210	N-7608	M	7	N-7601	1	dut			0		N-7608	N3b
N000211	N-7608	M	7	N-7601	1	dut			0		N-7608	N3b		
N000212	N-7608	F	6	N-7601	1	dut			0		N-7608	N3b		
N000213	N-7608	F	7	N-7601	1	dut			0		N-7608	N3b		
N000214	N-7608	M	11	N-3811	1	dut			0		N-7608	N3b		
N000215	N-7608	M	12	N-3851	1	dut			0		N-3853	N3b		
N000216	N-5231	M	43	TUR	4	dut		A2	0	2	TUR	N4a	7 y	1 y
N000217	N-5224	F	38	TUR	4	tur		A2	0	2	TUR	N4a	27 y	3 y
N000218	N-6224	M	25	TUR	4	tur		A2	0	4	TUR	N4a	1 y	3 m
N000219	N-5235	M	25	TUR	4	dut	eng	A2	0	4	TUR	N4a	10 m	6 m
N000220	N-6538	F	16	NLD	3	ara			0		NLD	N4a	6 y 6 m	1 y 6 m
N000221	N-6532	F	18	TUR	3	tur			0		TUR	N4a	1 y  6 m	1 y
